Concurso,Data,Local Realizacao,Rateio Processamento,Acumulou,Valor Acumulado,Dezenas,Premiacao
1,1996-03-11T00:00:00-03:00,,False,True,1714650.23,"04, 05, 30, 33, 41, 52","Sena (0 ganhadores), Quina (17 ganhadores), Quadra (2016 ganhadores)"
2,1996-03-18T00:00:00-03:00,,False,False,0,"09, 37, 39, 41, 43, 49","Sena (1 ganhadores), Quina (65 ganhadores), Quadra (4488 ganhadores)"
3,1996-03-25T00:00:00-03:00,,False,False,0,"10, 11, 29, 30, 36, 47",
4,1996-04-01T00:00:00-03:00,,False,True,717080.75,"01, 05, 06, 27, 42, 59","Sena (0 ganhadores), Quina (39 ganhadores), Quadra (3311 ganhadores)"
5,1996-04-08T00:00:00-03:00,,False,True,1342488.85,"01, 02, 06, 16, 19, 46","Sena (0 ganhadores), Quina (98 ganhadores), Quadra (5399 ganhadores)"
6,1996-04-15T00:00:00-03:00,,False,True,2286166.33,"07, 13, 19, 22, 40, 47","Sena (0 ganhadores), Quina (109 ganhadores), Quadra (7147 ganhadores)"
7,1996-04-22T00:00:00-03:00,,False,True,3335692.28,"03, 05, 20, 21, 38, 56","Sena (0 ganhadores), Quina (100 ganhadores), Quadra (5736 ganhadores)"
8,1996-04-29T00:00:00-03:00,,False,True,4493748.19,"04, 17, 37, 38, 47, 53","Sena (0 ganhadores), Quina (60 ganhadores), Quadra (5262 ganhadores)"
9,1996-05-06T00:00:00-03:00,,False,True,5718641.49,"08, 43, 54, 55, 56, 60","Sena (0 ganhadores), Quina (17 ganhadores), Quadra (2175 ganhadores)"
10,1996-05-13T00:00:00-03:00,,False,True,13334769.81,"04, 18, 21, 25, 38, 57","Sena (0 ganhadores), Quina (251 ganhadores), Quadra (12590 ganhadores)"
11,1996-05-20T00:00:00-03:00,,False,False,0,"15, 25, 37, 38, 58, 59","Sena (1 ganhadores), Quina (148 ganhadores), Quadra (9442 ganhadores)"
12,1996-05-27T00:00:00-03:00,,False,True,880136.24,"04, 16, 19, 20, 27, 43","Sena (0 ganhadores), Quina (108 ganhadores), Quadra (6454 ganhadores)"
13,1996-06-03T00:00:00-03:00,,False,True,1940205.35,"18, 32, 47, 50, 54, 56","Sena (0 ganhadores), Quina (43 ganhadores), Quadra (2934 ganhadores)"
14,1996-06-10T00:00:00-03:00,,False,True,3006941.32,"02, 16, 23, 27, 47, 53","Sena (0 ganhadores), Quina (85 ganhadores), Quadra (5323 ganhadores)"
15,1996-06-17T00:00:00-03:00,,False,True,4232661.35,"12, 33, 35, 51, 52, 60","Sena (0 ganhadores), Quina (57 ganhadores), Quadra (3931 ganhadores)"
16,1996-06-24T00:00:00-03:00,,False,True,5471686.62,"20, 32, 34, 49, 58, 60","Sena (0 ganhadores), Quina (31 ganhadores), Quadra (3250 ganhadores)"
17,1996-07-01T00:00:00-03:00,,False,False,0,"06, 10, 13, 19, 20, 51","Sena (1 ganhadores), Quina (144 ganhadores), Quadra (9376 ganhadores)"
18,1996-07-08T00:00:00-03:00,,False,True,858843.48,"23, 27, 36, 37, 42, 56","Sena (0 ganhadores), Quina (52 ganhadores), Quadra (4484 ganhadores)"
19,1996-07-15T00:00:00-03:00,,False,True,10506266.73,"05, 10, 12, 24, 25, 60","Sena (0 ganhadores), Quina (159 ganhadores), Quadra (9250 ganhadores)"
20,1996-07-22T00:00:00-03:00,,False,True,11844340.83,"11, 25, 28, 30, 33, 51","Sena (0 ganhadores), Quina (72 ganhadores), Quadra (5728 ganhadores)"
21,1996-07-29T00:00:00-03:00,,False,True,13182021.44,"06, 33, 36, 46, 49, 53","Sena (0 ganhadores), Quina (63 ganhadores), Quadra (5030 ganhadores)"
22,1996-08-05T00:00:00-03:00,,False,True,14716828.84,"01, 09, 31, 38, 46, 56","Sena (0 ganhadores), Quina (47 ganhadores), Quadra (4865 ganhadores)"
23,1996-08-12T00:00:00-03:00,,False,True,16510452,"17, 37, 39, 51, 52, 59","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (4897 ganhadores)"
24,1996-08-19T00:00:00-03:00,,False,False,0,"01, 08, 14, 28, 33, 43","Sena (1 ganhadores), Quina (227 ganhadores), Quadra (13486 ganhadores)"
25,1996-08-25T00:00:00-03:00,,False,True,884973.5,"24, 43, 50, 54, 55, 56","Sena (0 ganhadores), Quina (28 ganhadores), Quadra (2741 ganhadores)"
26,1996-09-01T00:00:00-03:00,,False,True,1892469.3,"10, 22, 50, 53, 57, 58","Sena (0 ganhadores), Quina (16 ganhadores), Quadra (1823 ganhadores)"
27,1996-09-08T00:00:00-03:00,,False,True,2998050.68,"13, 17, 20, 33, 44, 51","Sena (0 ganhadores), Quina (99 ganhadores), Quadra (6466 ganhadores)"
28,1996-09-15T00:00:00-03:00,,False,True,4183003.48,"03, 06, 22, 24, 54, 60","Sena (0 ganhadores), Quina (50 ganhadores), Quadra (4895 ganhadores)"
29,1996-09-22T00:00:00-03:00,,False,False,0,"03, 08, 14, 43, 56, 58","Sena (1 ganhadores), Quina (44 ganhadores), Quadra (5248 ganhadores)"
30,1996-09-29T00:00:00-03:00,,False,True,10127520.8,"07, 14, 15, 29, 38, 50","Sena (0 ganhadores), Quina (80 ganhadores), Quadra (5885 ganhadores)"
